dataset,ih_rate,ih_acc,i_rate,i_acc,h_rate,h_acc
digits,0.5,11.63,0.3,10.8,0.5,11.02
wine,0.08,98.89,0.25,68.86,0.3,66.24
breast_cancer,0.1,97.72,0.45,75.55,0.04,74.5
iris,0.15,91.33,0.04,72.0,0.04,67.33
