metric,input_hidden,input_only,hidden_only
Average Accuracy,74.8925,56.802499999999995,54.772499999999994
Standard Deviation,42.30567367387027,30.7898580434099,29.39756154853664
Min Value,11.63,10.8,11.02
Max Value,98.89,75.55,74.5
Average Pruning Rate,0.2075,0.26,0.22000000000000003
